"TERM DESCRIPTION","TERM","SESSION","SESSION DESCRIPTION","DEPARTMENT","SUBJECT","COURSE","CLASS/SECTION NBR","COURSE DESCRIPTION","INSTRUCTOR NAME","GPA GRADES","TOTAL GRADES","SMALL CLASS NOTATION","AVG SECT GPA","AVG STDNT CUM GPA","PERCENT MAJORS","A%","B%","C%","D%","OTHER GRADES","A+","A","A-","B+","B","B-","C+","C","C-","D+","D","D-","F","W","WX","I","R","P","S","NY","NR","NC","OTHER","EFFECTIVE DATE"
"SP10","4102","","","AAAD","AAAD-A","100","11004","AFRICAN AMERICAN DANCE COMPANY","Rosa,Iris","14","17",""," 4.000"," 2.973","0.0","100.0","0.0","0.0","0.0","3","10","4","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","1","0","06-11-2010"
"SP10","4102","","","AAAD","AAAD-A","110","11005","AFRICAN AMERCN CHORAL ENSEMBLE","McCutchen,Keith D.","12","14",""," 4.000"," 2.756","15.4","100.0","0.0","0.0","0.0","2","10","2","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","06-11-2010"
"SP10","4102","","","AAAD","AAAD-A","120","11006","SOUL REVUE","Cooper,Tyron","18","22",""," 3.983"," 3.043","0.0","100.0","0.0","0.0","0.0","4","17","0","1","0","0","0","0","0","0","0","0","0","0","3","1","0","0","0","0","0","0","0","0","06-11-2010"
"SP10","4102","","","AAAD","AAAD-A","142","11008","INTRO WRITNG & ST OF BL LIT 2","Drieling,Claudia","43","47",""," 2.884"," 2.948","4.4","23.3","51.2","16.3","9.3","4","1","4","5","8","7","7","3","3","1","2","2","0","0","2","2","0","0","0","0","0","0","0","0","06-11-2010"
"SP10","4102","","","AAAD","AAAD-A","150","11012","SURV CULTR OF BLACK AMERICANS","Assensoh,Akwasi B.","147","164",""," 3.373"," 2.961","0.7","28.6","71.4","0.0","0.0","17","0","30","12","61","38","6","0","0","0","0","0","0","0","5","12","0","0","0","0","0","0","0","0","06-11-2010"
"SP10","4102","","","AAAD","AAAD-A","154","29726","HISTORY OF RACE IN AMERICAS","Selka,Stephen","25","28",""," 3.368"," 2.982","0.0","68.0","24.0","0.0","0.0","5","0","11","6","1","4","1","0","0","0","0","0","0","2","0","2","0","0","1","0","0","0","0","0","06-11-2010"
"SP10","4102","","","AAAD","AAAD-A","156","30132","JIM CROW AND APARTHEID","Williams,Vernon","29","35",""," 3.200"," 2.709","0.0","51.7","31.0","10.3","3.4","7","0","11","4","3","2","4","1","2","0","0","1","0","1","1","5","0","0","0","0","0","0","0","0","06-11-2010"
"SP10","4102","","","AAAD","AAAD-A","201","29415","INTRO AFR-AMER & AFR DIASPORA","Grim,Valerie","16","25",""," 3.056"," 2.546","0.0","25.0","68.8","6.3","0.0","9","1","1","2","0","6","5","0","1","0","0","0","0","0","4","4","1","0","0","0","0","0","0","0","06-11-2010"
"SP10","4102","","","AAAD","AAAD-A","205","34383","BLACK ELECTORAL POLITICS","Stanfield,John H.","25","62",""," 2.388"," 2.564","2.0","28.0","40.0","0.0","8.0","43","0","5","2","2","7","1","0","0","0","1","0","1","6","24","12","0","0","1","0","0","0","0","0","06-11-2010"
"SP10","4102","","","AAAD","AAAD-A","249","29416","AFRICAN AMERICAN AUTOBIOGRAPHY","Drieling,Claudia","13","25",""," 3.423"," 3.014","21.4","61.5","30.8","7.7","0.0","12","0","3","5","1","3","0","0","0","1","0","0","0","0","1","11","0","0","0","0","0","0","0","0","06-11-2010"
